Category,Condition,Medicine class,Example active ingredient / salt,General medical role,HKare safety / clinical note
Infectious,Influenza,Antiviral,Oseltamivir,Antiviral treatment in selected influenza cases,Doctor-guided; timing and risk factors matter
Infectious,COVID-19,Antiviral,Nirmatrelvir + ritonavir,Antiviral treatment for selected high-risk cases,Prescription; major drug interactions
Infectious,Tuberculosis,Antitubercular,Rifampicin + isoniazid + pyrazinamide + ethambutol,Combination treatment,Specialist/public-health regimen; never self-treat
Infectious,Malaria,Antimalarial,Artemether + lumefantrine,Treatment of susceptible malaria,"Regimen depends on species, resistance and severity"
Infectious,Dengue,Supportive care,Paracetamol (acetaminophen),Fever/pain relief,Avoid aspirin/NSAIDs when dengue is suspected unless clinician advises
Infectious,Typhoid fever,Antibiotic,Ceftriaxone / azithromycin,Treatment of susceptible bacterial infection,Choice depends on resistance and testing
Infectious,Cholera,Antibiotic + rehydration,Doxycycline / azithromycin,Antibiotic in selected cases,Rehydration is central; antibiotic choice varies
Infectious,Measles,Supportive / vitamin,Vitamin A,Supportive management in children under clinical guidance,Medical supervision required
Infectious,Mumps,Supportive care,Paracetamol (acetaminophen),Fever/pain relief,Supportive care; diagnosis and complications need assessment
Infectious,Rubella,Supportive care,Paracetamol (acetaminophen),Symptom relief,Pregnancy exposure needs medical assessment
Infectious,Chickenpox,Antiviral,Acyclovir,Treatment in selected higher-risk cases,Early clinician assessment important
Infectious,Shingles,Antiviral,Acyclovir / valaciclovir,Antiviral treatment,Early treatment is most useful; clinician guidance
Infectious,Hepatitis B,Antiviral,Tenofovir disoproxil fumarate,Long-term antiviral therapy in selected chronic cases,Specialist monitoring required
Infectious,Hepatitis C,Direct-acting antiviral,Sofosbuvir + velpatasvir,Curative antiviral regimen,Regimen depends on genotype/history and interactions
Infectious,HIV infection,Antiretroviral therapy,Tenofovir + lamivudine + dolutegravir,Combination antiretroviral therapy,Specialist-guided combination therapy
Infectious,Rabies,Post-exposure prophylaxis,Rabies vaccine + rabies immunoglobulin,Post-exposure prevention,Urgent medical care; not self-treatment
